title,type,radar_notes,radar_peak,radar_scratch,radar_soflan,radar_charge,radar_chord,notes,radar_top
LEADING CYBER,H,59.9,57.14,9.28,0,0,3.85,611,NOTES
LEADING CYBER,A,63.23,55.71,27.14,0,0,6.71,645,NOTES
R5,N,44.28,45.71,15.84,0,0,17.56,387,PEAK
R5,H,67.29,71.42,20.84,0,0,39.89,588,PEAK
R5,A,93.04,101.31,37.36,0,0,85.64,889,PEAK
REINCARNATION,N,34.63,37.14,9.52,0,0,3,424,PEAK
REINCARNATION,H,42.89,50,14.88,0,0,4.2,525,PEAK
REINCARNATION,A,52.53,58.57,15.47,0,0,5.51,643,PEAK
Schlagwerk,N,42.81,38.57,19.59,0,0,4,414,NOTES
Schlagwerk,H,68.57,60,27.88,0,0,28.49,663,NOTES
Schlagwerk,A,87.71,80,18.84,0,0,61.44,848,NOTES
Skyscraper,N,37.97,40,20.82,0,0,4.71,372,PEAK
Skyscraper,H,62.27,60,34.21,0,0,26.23,610,NOTES
Skyscraper,A,64.21,70,36.44,0,0,28.67,629,PEAK
Tangerine Stream,N,14.55,18.57,0.75,0,0,0.4,141,PEAK
Tangerine Stream,H,20.43,30,0.75,0,0,5.31,198,PEAK
THE SAFARI,N,70.77,62.85,45.05,0,0,49.72,618,NOTES
THE SAFARI,H,103.07,92.85,48.39,0,0,86.59,900,NOTES
never let you down,N,41.25,34.28,22.09,0,0,8.25,408,NOTES
never let you down,H,57.57,51.42,20.42,0,0,27.51,575,NOTES
never let you down,A,58.74,51.42,22.09,0,0,28.36,581,NOTES
250bpm,N,40.49,40,45.97,0,0,8.11,353,SCRATCH
250bpm,H,60.57,55.71,61.85,0,0,26.91,528,SCRATCH
250bpm,A,83.29,88.57,89.43,0,0,60.73,726,SCRATCH
ABSOLUTE,N,54.64,48.57,12.84,36.63,0,12.85,682,NOTES
ABSOLUTE,H,74.91,61.42,16.92,49.14,0,27.95,935,NOTES
ABSOLUTE,A,97.58,82.85,23.93,89.71,0,82.96,1218,NOTES
ABSOLUTE,L,113.12,105.26,23.34,97.51,172.16,102.76,1412,CHARGE
Broken My Heart,N,45.12,42.85,36.76,0,0,12.59,474,NOTES
Broken My Heart,H,71.49,61.42,38.14,0,0,41.96,751,NOTES
Broken My Heart,A,87.01,84.28,38.14,0,0,74.13,914,NOTES
CHECKING YOU OUT,N,32.5,30,103.61,31.4,0,3.2,339,SCRATCH
CHECKING YOU OUT,H,46.12,52.85,134.59,51.81,0,9.17,481,SCRATCH
CHECKING YOU OUT,A,67.12,68.57,134.59,84.71,0,42.44,700,SCRATCH
Clione,N,21.14,27.14,13.42,0,0,3.4,264,PEAK
Clione,H,38.36,55.71,13.42,0,0,10.95,479,PEAK
Clione,A,64.95,77.14,14,0,0,44.53,811,PEAK
Clione,L,88.26,100,12.83,0,132.79,71.54,1102,CHARGE
DXY!,N,60.56,94.28,35.92,0,0,7.6,651,PEAK
DXY!,H,90.05,95.71,30.5,0,0,51.73,968,PEAK
DXY!,A,107.73,136.84,50.83,0,0,72.14,1158,PEAK
empathy,N,37.04,40,7.13,0,0,9.8,416,PEAK
empathy,H,62.6,64.28,6.48,66.25,0,35.87,703,SOFLAN
empathy,A,66.16,75.71,6.48,79.79,0,39.3,743,SOFLAN
era (step mix),N,50.05,41.42,16.13,68.7,0,5.45,565,SOFLAN
era (step mix),H,64.94,54.28,16.13,88.06,0,8.51,733,SOFLAN
era (step mix),A,77.52,74.28,16.13,100.68,0,12.71,875,SOFLAN
HIGHER,N,26.02,24.28,15.44,0,0,2.8,270,NOTES
HIGHER,H,45.1,38.57,21.06,0,0,21.83,468,NOTES
HIGHER,A,61.77,57.14,23.87,0,0,52.2,641,NOTES
KAMIKAZE,N,47.35,41.42,40.86,0,0,23.75,515,NOTES
KAMIKAZE,H,68.49,65.71,43.54,0,0,53.55,745,NOTES
KAMIKAZE,A,106.37,103.94,39.52,0,0,116.26,1157,CHORD
LOVE WILL・・・,N,30.24,31.42,22.11,0,0,4.8,279,PEAK
LOVE WILL・・・,H,41.09,42.85,18.95,0,0,16.09,379,PEAK
LOVE WILL・・・,A,79.36,72.85,24.48,0,0,70.06,732,NOTES
minimalian,N,28.64,30,26.95,0,0,5.11,271,PEAK
minimalian,H,58.65,68.57,26.95,0,0,26.9,555,PEAK
minimalian,A,74.61,78.57,26.95,0,0,35.41,706,PEAK
starmine,N,42.24,40,30.37,0,0,11.05,456,NOTES
starmine,H,66.6,64.28,45.22,0,0,42.48,719,NOTES
starmine,A,74.11,71.42,55.34,0,0,54.85,800,NOTES
Voltage (feat. Hidemaru),N,50.03,41.42,16.7,154.6,0,12.16,480,SOFLAN
Voltage (feat. Hidemaru),H,65.66,58.57,16.7,162.94,0,36.81,630,SOFLAN
Voltage (feat. Hidemaru),A,69.83,65.71,16.7,162.94,0,44.31,670,SOFLAN
Hitch Hiker2,N,38.22,40,36.46,0,0,7.45,420,PEAK
Hitch Hiker2,H,55.41,52.85,41.1,0,0,27.06,609,NOTES
Hitch Hiker2,A,60.51,64.28,41.1,0,0,34.79,665,PEAK
Hitch Hiker2,L,88.81,87.14,60.33,0,0,85.57,976,NOTES
SWEET LAB,N,29.05,35.71,46.87,0,0,2.05,280,SCRATCH
SWEET LAB,H,51.47,57.14,75.6,0,0,24.7,496,SCRATCH
SWEET LAB,A,71.8,84.28,115.75,0,0,61,692,SCRATCH
DIAMOND JEALOUSY,N,38.57,42.85,35.23,0,0,11.4,343,PEAK
DIAMOND JEALOUSY,H,61.4,55.71,49.16,0,0,38.26,546,NOTES
Under Construction,N,41.75,40,29.91,0,0,4.31,417,NOTES
Under Construction,H,50.76,65.71,24.8,0,0,15.89,507,PEAK
Under Construction,A,58.27,67.14,29.91,0,0,29.43,582,PEAK
FLOWERS for ALBION,N,12.21,17.14,2.18,42.13,0,0.6,122,SOFLAN
FLOWERS for ALBION,H,22.22,54.28,2.91,46.87,0,3.59,222,PEAK
Jam&Marmalade,N,51.07,51.42,30.69,0,0,14.91,388,PEAK
Jam&Marmalade,H,60.02,52.85,30.69,0,0,20.03,456,NOTES
Jam&Marmalade,A,67.4,72.85,54.66,0,0,26.08,512,PEAK
Abyss,N,54.3,50,6.81,0,0,24.37,639,NOTES
Abyss,H,69.43,61.42,16.09,0,0,45.11,817,NOTES
Abyss,A,80.31,80,23.52,0,0,73.65,945,NOTES
in my eyes,N,42.53,35.71,14.08,0,0,5.2,484,NOTES
in my eyes,H,64.93,54.28,19.2,0,0,29.01,739,NOTES
in my eyes,A,70.12,67.14,32.65,0,0,36.17,798,NOTES
Kiss me all night long,N,48.14,45.71,29.04,0,0,2.2,471,NOTES
Kiss me all night long,H,64.29,62.85,44.68,0,0,18.57,629,NOTES
Kiss me all night long,A,76.25,71.42,44.68,0,0,32.35,746,NOTES
outer wall,N,45.76,41.42,37.98,0,0,6.2,474,NOTES
outer wall,H,66.33,61.42,60.5,0,0,39.13,687,NOTES
outer wall,A,86.13,77.14,57.68,0,0,72.67,892,NOTES
QQQ,N,53.87,48.57,30.34,0,0,22.11,621,NOTES
QQQ,H,83.37,65.71,46.14,0,0,53.03,961,NOTES
QQQ,A,94.65,85.71,55.62,0,0,68.86,1091,NOTES
Radical Faith,N,52.41,45.71,27.27,0,0,10.84,602,NOTES
Radical Faith,H,66.86,67.14,25.37,0,0,21.39,768,PEAK
Radical Faith,A,62.1,65.71,50.04,0,0,31.34,660,PEAK
Real,N,46.91,55.71,14.73,0,0,12.45,580,PEAK
Real,H,70.04,78.57,13.55,0,0,50.94,866,PEAK
Real,A,74.41,97.14,14.14,0,0,59.08,920,PEAK
Regulus,N,48.53,52.85,23.74,22.7,0,10.87,551,PEAK
Regulus,H,69.4,71.42,65.45,36.86,0,37.9,788,PEAK
Regulus,A,77.59,82.85,75.72,36.86,0,52.15,881,PEAK
RIDE ON THE LIGHT (HI GREAT MIX),N,42.33,38.57,35.48,0,0,8.03,452,NOTES
RIDE ON THE LIGHT (HI GREAT MIX),H,51.32,67.14,36.84,0,0,13.21,548,PEAK
RIDE ON THE LIGHT (HI GREAT MIX),A,80.73,85.71,36.16,0,0,61.13,862,PEAK
RIDE ON THE LIGHT (HI GREAT MIX),L,87.19,95.71,30.02,0,153.3,46.75,931,CHARGE
RISLIM,N,39.81,37.14,11.9,0,0,3.4,463,NOTES
RISLIM,H,53.74,62.85,18.79,0,0,10.78,625,PEAK
Spin the disc,N,42.58,42.85,67.51,0,0,10.11,409,SCRATCH
Spin the disc,H,68.61,61.42,77.37,0,0,35.02,659,SCRATCH
Spin the disc,A,70.17,70,77.37,0,0,37.54,674,SCRATCH
STILL IN MY HEART,N,51.09,51.42,28.07,0,0,15.6,517,PEAK
STILL IN MY HEART,H,69.66,67.14,33.83,0,0,28.01,705,NOTES
STILL IN MY HEART,A,95.95,109.21,33.11,0,0,74.6,971,PEAK
still my words,N,37.09,41.42,6.4,0,0,8.6,464,PEAK
still my words,H,49.48,54.28,8.15,0,0,17.57,619,PEAK
sync,N,45.11,40,2.39,0,0,1.6,549,NOTES
sync,H,80.69,78.57,2.99,0,0,29.07,982,NOTES
sync,A,98.93,114.47,2.99,0,0,70.08,1204,PEAK
V,N,50.75,47.14,21.17,0,0,10.09,646,NOTES
V,H,99.92,105.26,29.18,0,0,77.11,1272,PEAK
V,A,119.33,169.64,26.9,0,0,116.44,1519,PEAK
sometime,N,31.89,40,18.32,0,0,4.51,393,PEAK
sometime,H,43.74,54.28,21.28,0,0,16.54,539,PEAK
sometime,A,54.53,77.14,26.01,0,0,33.78,672,PEAK
LOVE AGAIN TONIGHT～for Mellisa mix～,N,38.99,40,20.66,0,0,13.51,385,PEAK
LOVE AGAIN TONIGHT～for Mellisa mix～,H,50.74,47.14,28.77,0,0,29.25,501,NOTES
LOVE AGAIN TONIGHT～for Mellisa mix～,A,56.81,52.85,29.51,0,0,41.92,561,NOTES
Time is money,N,29.28,32.85,8.31,0,0,3.8,308,PEAK
Time is money,H,31.09,44.28,8.31,0,0,4.4,327,PEAK
Estella,N,38.25,37.14,2.18,0,0,0.8,382,NOTES
Estella,H,55.97,51.42,2.18,0,0,5.6,559,NOTES
INSERTiON,N,42.89,41.42,18.66,100.22,0,5.2,452,SOFLAN
INSERTiON,H,63.01,70,18.66,120.24,0,24.11,664,SOFLAN
INSERTiON,A,79.24,84.28,18.66,120.24,0,56.59,835,SOFLAN
THE SHINING POLARIS,N,41.6,41.42,11.87,0,0,4.81,485,NOTES
THE SHINING POLARIS,H,57.21,55.71,11.87,0,0,16.14,667,NOTES
THE SHINING POLARIS,A,68.54,62.85,11.87,0,0,33.51,799,NOTES
BALLAD FOR YOU～想いの雨～,N,28.05,28.57,8.25,0,0,10.23,297,PEAK
BALLAD FOR YOU～想いの雨～,H,36.55,37.14,8.25,0,0,22.88,387,PEAK
BALLAD FOR YOU～想いの雨～,A,50.72,51.42,8.25,0,0,41.71,537,PEAK
Blueberry Stream,N,39.64,38.57,12.79,0,0,6.75,429,NOTES
Blueberry Stream,H,71.15,95.71,23.56,0,0,50.82,770,PEAK
Blueberry Stream,A,78.17,95.71,23.56,0,0,64.44,846,PEAK
Buffalo,N,49,57.14,15.37,0,0,15.17,511,PEAK
Buffalo,H,71.35,68.57,22.35,0,0,31.67,744,NOTES
Buffalo,A,89.38,84.28,92.23,0,0,57.4,932,SCRATCH
Colors (radio edit),N,61.35,60,13.09,0,0,18.05,751,NOTES
Colors (radio edit),H,82.6,80,10.11,0,0,30.37,1011,NOTES
Colors (radio edit),A,102.78,139.47,17.26,0,0,76.68,1258,PEAK
fly through the night,N,37.87,40,20.14,0,0,10.21,452,PEAK
fly through the night,H,57.65,61.42,23.19,0,0,28,688,PEAK
fly through the night,A,72.31,75.71,25.64,0,0,53.01,863,PEAK
Free Style,N,46.37,40,40.71,0,0,16.87,473,NOTES
Free Style,H,55.98,51.42,42.85,0,0,23.69,571,NOTES
Free Style,A,65.09,58.57,42.85,0,0,38.61,664,NOTES
Frozen Ray (original mix),N,56.09,55.71,5.49,0,0,18.18,669,NOTES
Frozen Ray (original mix),H,75.21,70,9.16,0,0,49.95,897,NOTES
Frozen Ray (original mix),A,76.21,74.28,9.16,0,0,52.56,909,NOTES
G2,N,61.09,58.57,20.12,0,0,15.81,752,NOTES
G2,H,76.52,68.57,27.22,0,0,36.02,942,NOTES
G2,A,96.51,91.42,30.77,0,0,77.94,1188,NOTES
L'amour et la liberte,N,48.54,50,9.5,47.89,0,10.11,521,PEAK
L'amour et la liberte,H,75.57,70,10.18,68.67,0,33.25,811,NOTES
Linus,N,42.93,62.85,17.26,69.02,0,14.49,489,SOFLAN
Linus,H,69.26,82.85,21.74,101.84,0,51.4,789,SOFLAN
Linus,A,97.01,100,24.94,116.33,0,100.58,1105,SOFLAN
NEMESIS,N,41.78,52.85,20.91,0,0,9.77,524,PEAK
NEMESIS,H,66.9,81.42,23.23,0,0,34.63,839,PEAK
NEMESIS,A,77.58,95.71,30.79,0,0,54.88,973,PEAK
rottel-da-sun,N,45.69,41.42,96.59,0,0,12.63,417,SCRATCH
rottel-da-sun,H,75.82,72.85,100.8,0,0,51.46,692,SCRATCH
rottel-da-sun,A,102.55,98.57,104.06,0,0,102.92,936,SCRATCH
route 80s,N,47.42,52.85,46.11,0,0,23.27,457,PEAK
route 80s,H,63.71,57.14,94.5,0,0,44.19,614,SCRATCH
route 80s,A,79.51,77.14,93.77,0,0,66.78,766,SCRATCH
Silhoette of My Mind,N,25.47,45.71,6.1,0,0,7.31,304,PEAK
Silhoette of My Mind,H,33.76,45.71,6.1,0,0,12.31,403,PEAK
Summer Vacation(CU mix),N,62.33,50,25.19,0,0,9.91,667,NOTES
Summer Vacation(CU mix),H,88.68,88.57,29.95,0,0,46.06,949,NOTES
Take It Easy,N,58.94,47.14,31.07,0,0,15.49,760,NOTES
Take It Easy,H,95.31,92.85,31.07,0,0,90.94,1229,NOTES
Take It Easy,A,99.42,98.57,31.07,0,0,101.35,1282,CHORD
VJ ARMY,N,56.07,45.71,14.78,47.83,0,10.97,663,NOTES
VJ ARMY,H,75.52,67.14,22.18,58.11,0,27.87,893,NOTES
VJ ARMY,A,82.2,68.57,22.79,57.16,0,37.31,972,NOTES
こっちを向いてよ,N,38.17,47.14,10.79,0,0,12.92,438,PEAK
こっちを向いてよ,H,58.12,61.42,11.42,0,0,29.22,667,PEAK
こっちを向いてよ,A,61.26,62.85,10.15,0,0,34.43,703,PEAK
電人イェーガーのテーマ (Theme of DENJIN J),N,49.5,52.85,27.54,0,0,9.43,563,PEAK
電人イェーガーのテーマ (Theme of DENJIN J),H,69.98,72.85,35.23,0,0,19.67,796,PEAK
"19,November",N,45.38,41.42,14.76,0,0,12.83,560,NOTES
"19,November",H,59.41,55.71,10.62,0,0,20.69,733,NOTES
"19,November",A,73.75,64.28,48.42,0,0,44.95,910,NOTES
SOMETHING WONDERFUL,N,37.98,44.28,19.97,0,0,4.71,471,PEAK
SOMETHING WONDERFUL,H,55.48,52.85,18.8,0,0,13.53,688,NOTES
SOMETHING WONDERFUL,A,80.88,90,22.91,0,16.25,59.31,1003,PEAK
A,N,52.1,54.28,11.97,28.2,0,35.37,666,PEAK
A,H,86.92,82.85,21.09,56.26,0,79.98,1111,NOTES
A,A,98.58,106.57,25.08,68.7,0,104.78,1260,PEAK
AVE DE RAPINA,N,58.72,80,32.4,0,0,24.13,713,PEAK
AVE DE RAPINA,H,72.64,82.85,43.8,0,0,31.51,882,PEAK
AVE DE RAPINA,A,76.92,85.71,49.8,0,0,39.43,934,PEAK
Bad Routine,N,43.31,44.28,39.29,0,0,24.92,522,PEAK
Bad Routine,H,59.41,72.85,45.34,0,0,60.03,716,PEAK
Bad Routine,A,79.99,88.57,47.15,0,0,103.3,964,CHORD
BRING HER DOWN,N,46.35,44.28,38.65,0,0,14.51,533,NOTES
BRING HER DOWN,H,64.79,54.28,63.99,0,0,30.66,745,NOTES
BRING HER DOWN,A,78.27,75.71,68.43,0,0,39.61,900,NOTES
Burning Heat! (Full Option Mix),N,31.18,34.28,25.8,0,0,6.45,361,PEAK
Burning Heat! (Full Option Mix),H,42.66,48.57,34.61,0,0,13.35,494,PEAK
Burning Heat! (Full Option Mix),A,65.21,74.28,37.75,0,0,45.4,755,PEAK
Burning Heat! (Full Option Mix),L,80.41,98.57,30.83,0,0,68.14,931,PEAK
CLOUDY MUSIC,N,40.43,44.28,22.33,0,0,14.59,422,PEAK
CLOUDY MUSIC,H,59.4,61.42,22.33,0,0,24.94,620,PEAK
D2R,N,50.44,48.57,54.3,0,0,8.4,494,SCRATCH
D2R,H,68.51,58.57,55.05,0,0,23.83,671,NOTES
D2R,A,84.03,67.14,53.56,0,0,52.91,823,NOTES
DESTINY,N,52.38,47.14,43.33,0,0,16.93,546,NOTES
DESTINY,H,67.15,55.71,44.73,0,0,38.73,700,NOTES
DESTINY,A,88.73,82.85,45.43,0,0,86.99,925,NOTES
entrance,N,47.06,48.57,21.42,0,0,7.17,480,PEAK
entrance,H,72.55,78.57,34.28,0,0,46.19,740,PEAK
entrance,A,82.84,81.42,32.85,0,0,61.37,845,NOTES
Glorious Days,N,21.27,24.28,24.26,34.47,0,4.45,262,SOFLAN
Glorious Days,H,33.37,41.42,36.09,47.76,0,22.67,411,SOFLAN
Glorious Days,A,37.6,54.28,56.21,58.38,0,29.02,463,SOFLAN
Happy Wedding,N,48.71,44.28,15.45,0,0,14.55,620,NOTES
Happy Wedding,H,68.51,70,14.31,0,0,19.82,872,PEAK
Happy Wedding,A,73.86,71.42,24.04,0,0,27.21,940,NOTES
i feel ...,N,42.16,41.42,8.79,0,0,19.75,454,NOTES
i feel ...,H,51.64,51.42,13.53,0,0,31.8,556,NOTES
i feel ...,A,58.14,65.71,13.53,0,0,42.2,626,PEAK
Let the Snow Paint Me,N,36.03,41.42,3.04,0,0,13.25,431,PEAK
Let the Snow Paint Me,H,44.89,60,3.04,0,0,27.05,537,PEAK
Let the Snow Paint Me,A,52.17,60,26.8,0,0,45.31,624,PEAK
Love Me Do,N,46.92,44.28,38.32,0,0,26.91,571,NOTES
Love Me Do,H,70.43,61.42,38.32,0,0,52.39,857,NOTES
Love Me Do,A,86.94,87.14,38.32,0,0,96.64,1058,CHORD
Marmalade Reverie,N,39.83,34.28,6.65,0,0,8.51,436,NOTES
Marmalade Reverie,H,46.05,45.71,11.98,0,0,17.41,504,NOTES
Marmalade Reverie,A,58.29,55.71,25.96,0,0,29.21,638,NOTES
MAX 300,N,61.97,54.28,37.16,67.91,0,13.86,571,SOFLAN
MAX 300,H,106.58,106.57,34,70.33,0,82.83,982,NOTES
Spica,N,28.94,38.57,7.71,0,0,13.32,328,PEAK
Spica,H,68.12,74.28,34.07,0,0,28.27,772,PEAK
Spica,A,101.7,140.78,32.38,0,0,69.79,1167,PEAK
Tomorrow Perfume,N,55.18,48.57,9.97,0,0,2.2,685,NOTES
Tomorrow Perfume,H,80.56,92.85,11.73,0,0,46.2,1000,PEAK
Tomorrow Perfume,A,87.41,94.28,11.15,0,0,58.06,1085,PEAK
ZERO-ONE,N,55.69,47.14,17.51,0,0,12.03,556,NOTES
ZERO-ONE,H,87.54,75.71,20.43,0,0,37.56,874,NOTES
ZERO-ONE,A,113.38,85.71,20.43,0,0,68.28,1132,NOTES
ZERO-ONE,L,142.31,109.21,15.03,0,0,107.07,1448,NOTES
革命,N,35.54,41.42,29.06,38.16,0,16.67,392,PEAK
革命,H,91.02,67.14,29.72,104.39,0,10.43,1004,SOFLAN
革命,A,107.25,84.28,29.72,104.83,0,47.66,1183,NOTES
airflow,N,25.55,30,10.73,47.28,0,6.11,295,SOFLAN
airflow,H,34.82,48.57,10.73,71.18,0,14.99,402,SOFLAN
airflow,A,62.46,84.28,11.36,71.18,0,71.48,721,PEAK
ALL RIGHT,N,39.54,35.71,22.6,0,0,5,446,NOTES
ALL RIGHT,H,58.33,65.71,36.81,0,0,30.47,658,PEAK
ALL RIGHT,A,72.25,97.14,23.89,0,0,55.26,815,PEAK
bit mania,N,38.45,37.14,17.74,0,0,21.91,458,NOTES
bit mania,H,53.99,54.28,33.64,0,0,55.22,643,CHORD
bit mania,A,78.42,84.28,34.25,0,0,110.55,934,CHORD
CELEBRATE NITE,N,54.3,45.71,21.84,0,0,15.69,471,NOTES
CELEBRATE NITE,H,68.14,61.42,21.84,0,0,28.9,591,NOTES
CELEBRATE NITE,A,82.32,71.42,36.12,0,0,47.19,714,NOTES
CELEBRATE NITE,L,100.89,85.71,36.12,0,0,74.07,875,NOTES
Colors -Y&Co. Eurobeat Remix-,N,45.17,42.85,12.93,0,0,8.49,585,NOTES
Colors -Y&Co. Eurobeat Remix-,H,79.45,75.71,15.18,0,0,41.2,1029,NOTES
Colors -Y&Co. Eurobeat Remix-,A,84.93,75.71,15.18,0,0,55.89,1100,NOTES
DANCER,N,40.31,32.85,10.58,8.29,0,7.4,444,NOTES
DANCER,H,47.39,41.42,10.58,8.29,0,13.71,522,NOTES
DANCER,A,64.65,87.14,15.87,8.29,0,42.4,712,PEAK
dissolve,N,46.03,45.71,7.51,0,0,10.91,491,NOTES
dissolve,H,61.69,60,9.56,0,0,28.95,658,NOTES
dissolve,A,73.5,77.14,19.8,0,0,48.66,784,PEAK
dual control,N,37.8,37.14,36.9,11.4,0,9.6,403,NOTES
dual control,H,71.57,70,36.9,23.53,0,39.59,763,NOTES
dual control,A,90.15,78.57,36.9,23.62,0,58.56,961,NOTES
FLUTE MAN,N,28.34,45.71,7.59,0,0,3.2,299,PEAK
FLUTE MAN,H,44.08,50,15.19,0,0,13.31,465,PEAK
FLUTE MAN,A,52.42,64.28,19.34,0,0,30.91,553,PEAK
Giudecca,N,39.67,37.14,27.06,0,0,5.77,470,NOTES
Giudecca,H,85.76,78.57,25.83,0,0,16.71,1016,NOTES
Giudecca,A,116.57,118.42,44.28,0,0,57.55,1381,PEAK
Hormiga obrera,N,46.17,55.71,23.05,0,0,23.88,613,PEAK
Hormiga obrera,H,57.55,58.57,44.45,0,0,27.35,764,PEAK
Hormiga obrera,A,68.77,64.28,58.17,0,0,47.86,913,NOTES
HYPER BOUNDARY GATE,N,52.07,50,8.22,0,0,9.43,646,NOTES
HYPER BOUNDARY GATE,H,78.68,64.28,8.22,0,0,15.07,976,NOTES
HYPER BOUNDARY GATE,A,89.88,74.28,8.22,0,0,41.65,1115,NOTES
jelly kiss,N,31.35,62.85,30,0,0,23.61,373,PEAK
jelly kiss,H,46.39,65.71,29.39,0,0,51.98,552,PEAK
jelly kiss,A,55.14,74.28,50.82,0,0,65.83,656,PEAK
LAB,N,46.74,41.42,13.39,0,0,3.2,534,NOTES
LAB,H,90.07,88.57,44.64,0,0,54.36,1029,NOTES
LAB,A,94.1,88.57,44.64,0,0,64.17,1075,NOTES
LOVE IS ORANGE,N,37.37,37.14,10.91,0,0,7.05,399,NOTES
LOVE IS ORANGE,H,48.61,54.28,12.96,0,0,15.67,519,PEAK
LOVE IS ORANGE,A,84.58,74.28,23.2,0,0,68.89,903,NOTES
LOVE IS ORANGE,L,99.19,88.57,23.2,0,0,97.37,1059,NOTES
